state,,x,y
Andhra Pradesh,,-151,-277
Arunachal Pradesh,,337,162
Assam,,277,102
Bihar ,,82,89
Chhattisgarh,,-36,-89
Goa,,-262,-265
Gujarat,,-362,-1
Haryana,,-203,200
Himachal Pradesh,,-192,312
Jharkhand,,54,22
Karnataka,,-240,-297
Kerala,,-194,-419
Madhya Pradesh,,-213,-9
Maharashtra,,-268,-144
Manipur,,342,46
Meghalaya,,245,72
Mizoram,,323,-9
Nagaland,,365,94
Odisha,,32,-89
Punjab,,-244,264
Rajasthan,,-354,113
Sikkim,,183,151
Tamil Nadu,,-164,-402
Telangana ,,-138,-186
Tripura,,280,12
Uttarakhand,,-136,257
Uttar Pradesh ,,-137,160
West Bengal,,134,-2
